iter	Passed	Remaining
818	1594	352
819	1595	350
820	1598	348
821	1600	346
822	1602	344
823	1604	342
824	1606	340
825	1607	338
826	1609	336
827	1611	334
828	1613	332
829	1615	330
830	1618	329
831	1620	327
832	1622	325
833	1623	323
834	1625	321
835	1627	319
836	1629	317
837	1631	315
838	1633	313
839	1635	311
840	1637	309
841	1639	307
842	1641	305
843	1642	303
844	1644	301
845	1646	299
846	1648	297
847	1650	295
848	1652	293
849	1654	291
850	1655	289
851	1658	288
852	1660	286
853	1662	284
854	1664	282
855	1666	280
856	1668	278
857	1670	276
858	1672	274
859	1674	272
860	1676	270
861	1678	268
862	1679	266
863	1681	264
864	1683	262
865	1685	260
866	1687	258
867	1689	256
868	1691	254
869	1693	252
870	1695	251
871	1697	249
872	1699	247
873	1701	245
874	1703	243
875	1705	241
876	1706	239
877	1708	237
878	1710	235
879	1712	233
880	1714	231
881	1716	229
882	1718	227
883	1720	225
884	1721	223
885	1723	221
886	1725	219
887	1727	217
888	1729	215
889	1731	213
890	1733	212
891	1735	210
892	1737	208
893	1739	206
894	1741	204
895	1743	202
896	1745	200
897	1747	198
898	1749	196
899	1751	194
900	1753	192
901	1755	190
902	1757	188
903	1759	186
904	1761	184
905	1763	182
906	1765	180
907	1767	179
908	1769	177
909	1771	175
910	1773	173
911	1775	171
912	1778	169
913	1780	167
914	1783	165
915	1786	163
916	1789	162
917	1798	160
918	1801	158
919	1804	156
920	1807	155
921	1809	153
922	1812	151
923	1814	149
924	1816	147
925	1818	145
926	1820	143
927	1823	141
928	1826	139
929	1828	137
930	1830	135
931	1832	133
932	1834	131
933	1836	129
934	1838	127
935	1840	125
936	1843	123
937	1845	121
938	1847	119
939	1849	118
940	1851	116
941	1853	114
942	1855	112
943	1858	110
944	1860	108
945	1862	106
946	1863	104
947	1866	102
948	1867	100
949	1869	98
950	1871	96
951	1873	94
952	1876	92
953	1878	90
954	1880	88
955	1882	86
956	1884	84
957	1886	82
958	1888	80
959	1890	78
960	1892	76
961	1895	74
962	1897	72
963	1899	70
964	1901	68
965	1902	66
966	1904	65
967	1906	63
968	1908	61
969	1910	59
970	1912	57
971	1914	55
972	1916	53
973	1918	51
974	1920	49
975	1923	47
976	1925	45
977	1927	43
978	1929	41
979	1931	39
980	1939	37
981	1943	35
982	1948	33
983	1957	31
984	1962	29
985	1965	27
986	1970	25
987	1972	23
988	1974	21
989	1977	19
990	1979	17
991	1981	15
992	1983	13
993	1986	11
994	1988	9
995	1990	7
996	1992	5
997	1994	3
998	1997	1
999	1999	0
