customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,churn_rate,CLTV,ChurnReason,Count,Country,State,City,ZipCode,LatLong,Latitude,Longitude,Age,Under30,Married,ReferredaFriend,NumberofReferrals,Offer,AvgMonthlyLongDistanceCharges,AvgMonthlyGBDownload,StreamingMusic,PremiumTechSupport,UnlimitedData,TotalRefunds,TotalExtraDataCharges,TotalLongDistanceCharges,TotalRevenue,SatisfactionScore,CustomerStatus,ChurnCategory
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,5586,Competitor offered more data,1,United States,California,Los Angeles,90056,"33.987945, -118.370442",33.987945,-118.370442,32,No,No,No,0,None,5.85,19,No,No,No,0,20,11.7,175.85,1,Churned,Competitor
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,2966,Competitor offered more data,1,United States,California,Los Angeles,90061,"33.92128, -118.274186",33.92128,-118.274186,34,No,No,No,0,None,3.96,20,Yes,No,Yes,0,0,59.4,1485.8,1,Churned,Competitor
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,5302,Competitor made better offer,1,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,74,No,Yes,Yes,1,Offer E,48.85,17,No,No,Yes,0,0,390.8,1024.1,3,Churned,Competitor
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,3179,Competitor made better offer,1,United States,California,Los Angeles,90065,"34.108833, -118.229715",34.108833,-118.229715,71,No,No,No,0,Offer D,11.33,52,Yes,No,Yes,45.61,0,203.94,1910.88,2,Churned,Competitor
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,5571,Price too high,1,United States,California,Beverly Hills,90211,"34.063947, -118.383001",34.063947,-118.383001,41,No,No,No,0,None,27.21,29,Yes,No,Yes,0,0,244.89,1102.14,3,Churned,Price
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,2483,Product dissatisfaction,1,United States,California,Huntington Park,90255,"33.97803, -118.217141",33.97803,-118.217141,32,No,No,No,0,None,13.13,57,No,No,Yes,0,0,13.13,92.48,1,Churned,Competitor
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,3457,Service dissatisfaction,1,United States,California,Lynwood,90262,"33.923573, -118.200669",33.923573,-118.200669,34,No,Yes,Yes,1,None,8.69,53,No,No,Yes,0,0,60.83,557.73,1,Churned,Dissatisfaction
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,5806,Lack of self-service on Website,1,United States,California,Marina Del Rey,90292,"33.977468, -118.445475",33.977468,-118.445475,34,No,No,No,0,None,25.34,56,No,No,No,0,80,304.08,1311.43,1,Churned,Attitude
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,2604,Network reliability,1,United States,California,Inglewood,90301,"33.956445, -118.358634",33.956445,-118.358634,30,No,No,No,0,Offer E,34.26,0,No,No,No,0,0,171.3,285.15,3,Churned,Attitude
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,5337,Limited range of services,1,United States,California,Inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639,78,No,Yes,Yes,1,Offer C,19.76,12,No,No,Yes,13.43,0,494,2995.07,2,Churned,Dissatisfaction
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110,7611.85,Yes,1,5034,Lack of affordable download/upload speed,1,United States,California,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156,26,Yes,Yes,Yes,4,Offer A,14.79,47,Yes,Yes,Yes,0,0,1005.72,8617.57,2,Churned,Competitor
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,1,5154,Long distance charges,1,United States,California,Torrance,90504,"33.867257, -118.330794",33.867257,-118.330794,37,No,Yes,No,0,None,49.06,27,No,No,Yes,0,0,2698.3,7937.2,1,Churned,Price
4846-WHAFZ,Female,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,1,2793,Extra data charges,1,United States,California,Whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,80,No,Yes,Yes,1,Offer C,6.33,14,No,No,Yes,0,0,234.21,3102.36,2,Churned,Price
5299-RULOA,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1,5998,Price too high,1,United States,California,Whittier,90606,"33.976678, -118.065875",33.976678,-118.065875,62,No,Yes,Yes,1,None,24.48,30,Yes,No,Yes,0,0,244.8,1309.45,2,Churned,Price
0404-SWRVG,Male,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,1,4415,Product dissatisfaction,1,United States,California,La Habra,90631,"33.940619, -117.9513",33.940619,-117.9513,21,Yes,No,No,0,Offer E,14.6,71,Yes,No,Yes,8.74,0,43.8,264.61,1,Churned,Dissatisfaction
4412-YLTKF,Female,1,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,1,4638,Service dissatisfaction,1,United States,California,Pico Rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,72,No,No,No,0,Offer C,3.33,18,No,No,No,0,10,89.91,2235.41,1,Churned,Competitor
6207-WIOLX,Female,0,Yes,Yes,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,1,4190,Lack of self-service on Website,1,United States,California,Avalon,90704,"33.391181, -118.421305",33.391181,-118.421305,27,Yes,Yes,Yes,6,Offer C,0,48,Yes,No,Yes,4.48,0,0,1498.17,1,Churned,Attitude
3091-FYHKI,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,1,2301,Network reliability,1,United States,California,Harbor City,90710,"33.798266, -118.300237",33.798266,-118.300237,64,No,No,No,0,Offer E,0,22,Yes,No,Yes,0,0,0,35.45,3,Churned,Dissatisfaction
2372-HWUHI,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes,1,2570,Don't know,1,United States,California,Lakewood,90712,"33.840524, -118.148403",33.840524,-118.148403,45,No,No,No,0,Offer E,46.84,3,No,No,Yes,0,0,93.68,174.93,3,Churned,Other
0390-DCFDQ,Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,1,3964,Don't know,1,United States,California,Los Alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,76,No,Yes,Yes,1,Offer E,15.28,30,No,No,Yes,0,0,15.28,85.73,2,Churned,Other
4080-OGPJL,Female,0,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,1,2662,Don't know,1,United States,California,San Pedro,90731,"33.736387, -118.284363",33.736387,-118.284363,53,No,No,No,0,Offer E,48.14,18,Yes,Yes,Yes,0,0,385.12,948.77,1,Churned,Other
2135-RXIHG,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,1,2600,Poor expertise of online support,1,United States,California,Carson,90745,"33.822295, -118.26411",33.822295,-118.26411,63,No,No,No,0,Offer E,14.12,24,No,No,Yes,0,0,14.12,59.77,1,Churned,Competitor
3874-EQOEP,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95,655.5,Yes,1,2786,Poor expertise of phone support,1,United States,California,Long Beach,90804,"33.783047, -118.1486",33.783047,-118.1486,32,No,No,No,0,Offer E,20.52,28,Yes,No,No,36.6,10,143.64,772.54,1,Churned,Competitor
0867-MKZVY,Female,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes,1,5719,Price too high,1,United States,California,Altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,26,Yes,Yes,Yes,5,None,36.6,51,Yes,No,Yes,33.43,0,732,2290.92,1,Churned,Price
3376-BMGFE,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273,Yes,1,4287,Product dissatisfaction,1,United States,California,Monrovia,91016,"34.1528, -118.000482",34.1528,-118.000482,42,No,No,No,0,Offer E,33.5,27,No,No,Yes,8.74,0,134,398.26,1,Churned,Dissatisfaction
3445-HXXGF,Male,1,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes,1,5444,Service dissatisfaction,1,United States,California,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505,66,No,Yes,Yes,6,Offer B,0,24,No,No,Yes,40.95,0,0,2610.25,1,Churned,Dissatisfaction
1875-QIVME,Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes,1,4690,Lack of self-service on Website,1,United States,California,Tujunga,91042,"34.296574, -118.244839",34.296574,-118.244839,26,Yes,Yes,Yes,1,Offer E,11.51,53,Yes,Yes,Yes,45.44,0,23.02,220.38,3,Churned,Attitude
0691-JVSYA,Female,0,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes,1,4328,Network reliability,1,United States,California,Pasadena,91103,"34.167465, -118.165327",34.167465,-118.165327,24,Yes,Yes,Yes,5,None,40.62,73,Yes,No,Yes,18.55,0,2152.86,7134.51,1,Churned,Competitor
2656-FMOKZ,Female,1,No,No,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes,1,5717,Limited range of services,1,United States,California,Pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658,70,No,No,No,0,Offer D,44.07,19,No,No,Yes,0,0,661.05,1806.75,2,Churned,Dissatisfaction
2070-FNEXE,Female,1,No,No,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes,1,4419,Lack of affordable download/upload speed,1,United States,California,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,77,No,No,No,0,Offer E,26.95,18,No,No,No,11.05,0,188.65,681.2,2,Churned,Price
6317-YPKDH,Female,0,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes,1,4534,Long distance charges,1,United States,California,Glendale,91202,"34.167926, -118.267539",34.167926,-118.267539,54,No,No,No,0,Offer E,0,27,No,No,Yes,0,0,0,29.95,1,Churned,Competitor
9367-WXLCH,Male,0,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes,1,2152,Extra data charges,1,United States,California,Glendale,91204,"34.136306, -118.26036",34.136306,-118.26036,51,No,No,No,0,Offer E,25.73,19,Yes,No,Yes,33.21,0,205.84,835.28,2,Churned,Price
1918-ZBFQJ,Female,0,No,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes,1,5142,Price too high,1,United States,California,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,48,No,No,No,0,None,33.54,76,No,No,Yes,48.25,0,436.02,1499.42,1,Churned,Competitor
1024-GUALD,Female,0,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,1,4851,Product dissatisfaction,1,United States,California,Glendale,91207,"34.182378, -118.262922",34.182378,-118.262922,29,Yes,Yes,Yes,4,Offer E,0,29,Yes,No,Yes,0,0,0,24.8,1,Churned,Dissatisfaction
2472-OVKUP,Male,0,Yes,No,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91,531,Yes,1,2283,Service dissatisfaction,1,United States,California,Canoga Park,91304,"34.224377, -118.632656",34.224377,-118.632656,39,No,Yes,Yes,5,None,42.08,29,Yes,No,Yes,0,0,252.48,783.48,2,Churned,Dissatisfaction
1285-OKIPP,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes,1,3394,Lack of self-service on Website,1,United States,California,Mission Hills,91345,"34.266389, -118.459744",34.266389,-118.459744,62,No,No,No,0,None,23.2,21,Yes,No,Yes,0,0,23.2,103.1,2,Churned,Attitude
7825-ECJRF,Female,0,No,No,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes,1,3764,Network reliability,1,United States,California,Santa Clarita,91350,"34.502432, -118.41459",34.502432,-118.41459,43,No,No,No,0,None,28.35,19,Yes,Yes,No,21.72,40,538.65,2491.38,1,Churned,Dissatisfaction
7841-TZDMQ,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46,84.5,Yes,1,2667,Don't know,1,United States,California,Sun Valley,91352,"34.231053, -118.338307",34.231053,-118.338307,19,Yes,No,No,0,None,49.81,41,Yes,No,Yes,0,0,99.62,184.12,3,Churned,Other
9408-SSNVZ,Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes,1,2227,Don't know,1,United States,California,Stevenson Ranch,91381,"34.364153, -118.615583",34.364153,-118.615583,39,No,No,No,0,None,29.4,17,No,No,Yes,21.69,0,117.6,364.26,2,Churned,Other
0742-MOABM,Male,0,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes,1,3394,Don't know,1,United States,California,Panorama City,91402,"34.223768, -118.445461",34.223768,-118.445461,50,No,Yes,Yes,2,None,9.67,22,No,Yes,Yes,0,0,38.68,218.03,2,Churned,Competitor
2232-DMLXU,Female,0,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes,1,3638,Poor expertise of online support,1,United States,California,Van Nuys,91411,"34.17847, -118.459472",34.17847,-118.459472,22,Yes,Yes,No,0,None,35.6,58,Yes,No,Yes,0,0,35.6,90.8,2,Churned,Dissatisfaction
8937-RDTHP,Male,0,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes,1,2484,Poor expertise of phone support,1,United States,California,Burbank,91504,"34.213049, -118.317651",34.213049,-118.317651,40,No,No,No,0,None,26.85,11,Yes,No,Yes,0,0,26.85,111.45,2,Churned,Dissatisfaction
1251-KRREG,Male,0,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes,1,2556,Price too high,1,United States,California,North Hollywood,91601,"34.1692, -118.372498",34.1692,-118.372498,22,Yes,No,No,0,None,44.31,73,Yes,No,Yes,0,0,88.62,202.72,3,Churned,Price
0094-OIFMO,Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95,1120.3,Yes,1,5980,Product dissatisfaction,1,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,78,No,No,No,0,Offer D,11.59,29,No,No,No,0,120,127.49,1367.79,1,Churned,Dissatisfaction
9947-OTFQU,Male,1,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes,1,4616,Service dissatisfaction,1,United States,California,Covina,91722,"34.097345, -117.906736",34.097345,-117.906736,65,No,No,No,0,Offer D,29.11,29,No,No,Yes,0,0,436.65,1510.95,1,Churned,Competitor
0322-YINQP,Male,0,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,Yes,1,5687,Lack of self-service on Website,1,United States,California,Covina,91723,"34.084747, -117.886844",34.084747,-117.886844,37,No,No,No,0,None,11.35,9,No,No,Yes,0,0,11.35,59.9,1,Churned,Attitude
4629-NRXKX,Female,0,Yes,Yes,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,Yes,1,5687,Network reliability,1,United States,California,El Monte,91731,"34.079934, -118.046695",34.079934,-118.046695,47,No,Yes,Yes,1,None,46.23,21,No,No,Yes,0,0,92.46,239.61,1,Churned,Dissatisfaction
9514-JDSKI,Male,1,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,Yes,1,5828,Limited range of services,1,United States,California,El Monte,91732,"34.074492, -118.01462",34.074492,-118.01462,77,No,Yes,Yes,1,Offer E,0,12,No,No,Yes,0,0,0,40.2,2,Churned,Dissatisfaction
4959-JOSRX,Female,0,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes,1,4884,Lack of affordable download/upload speed,1,United States,California,La Puente,91744,"34.031441, -117.936436",34.031441,-117.936436,41,No,Yes,Yes,3,Offer E,30.19,16,No,No,Yes,0,0,60.38,140.93,2,Churned,Price
7273-TEFQD,Male,1,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,Yes,1,2314,Long distance charges,1,United States,California,La Puente,91746,"34.038983, -117.991372",34.038983,-117.991372,67,No,No,No,0,Offer E,0,28,Yes,No,Yes,0,0,0,132.2,2,Churned,Price
3606-TWKGI,Male,1,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes,1,2494,Extra data charges,1,United States,California,Rowland Heights,91748,"33.976753, -117.897367",33.976753,-117.897367,68,No,No,No,0,Offer D,32.68,11,No,No,No,0,10,424.84,1799.14,1,Churned,Competitor
6323-AYBRX,Male,0,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,Yes,1,5084,Price too high,1,United States,California,Ontario,91762,"34.057256, -117.667677",34.057256,-117.667677,51,No,No,No,0,None,26.63,0,No,No,No,14.22,0,1571.17,2656.55,3,Churned,Price
4385-GZQXV,Female,1,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes,1,3810,Product dissatisfaction,1,United States,California,Ontario,91764,"34.074087, -117.605618",34.074087,-117.605618,68,No,No,No,0,Offer D,9.43,9,Yes,Yes,Yes,0,0,150.88,1662.08,1,Churned,Competitor
6366-ZGQGL,Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes,1,5087,Service dissatisfaction,1,United States,California,Pomona,91766,"34.042286, -117.756106",34.042286,-117.756106,60,No,No,No,0,Offer E,0,29,No,No,Yes,0,0,0,24.8,2,Churned,Dissatisfaction
5940-AHUHD,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,Yes,1,3338,Lack of self-service on Website,1,United States,California,Pomona,91768,"34.067932, -117.785168",34.067932,-117.785168,30,No,No,No,0,Offer E,44.59,41,No,No,Yes,0,0,44.59,115.19,2,Churned,Attitude
6432-TWQLB,Male,0,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,Yes,1,3676,Network reliability,1,United States,California,Rosemead,91770,"34.065108, -118.082791",34.065108,-118.082791,51,No,Yes,Yes,1,Offer E,42.29,16,No,Yes,Yes,45.37,0,211.45,567.18,3,Churned,Dissatisfaction
4484-GLZOU,Female,0,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,Yes,1,4839,Don't know,1,United States,California,San Dimas,91773,"34.102119, -117.815532",34.102119,-117.815532,20,Yes,Yes,Yes,6,None,10.59,48,Yes,No,Yes,27.6,0,550.68,6147.93,2,Churned,Other
